station_name,station_id,lat,lng
W 15 St & 7 Ave,6030.06,40.739355,-73.999317
W 15 St & 7 Ave,6030.06,40.739355,-73.999318
W 15 St & 7 Ave,6030.06,40.78057799010334,-73.98562431335449
E 32 St & Park Ave,6280.12,40.745712,-73.981948
E 32 St & Park Ave,6280.12,40.7457121,-73.98194829
E 72 St & York Ave,6889.12,40.76663814,-73.95348296
E 72 St & York Ave,6889.12,40.766638,-73.953482
E 72 St & York Ave,6889.12,40.766638,-73.953483
2 Ave & E 72 St,6925.09,40.7687620293096,-73.95840793848038
2 Ave & E 72 St,6925.09,40.768762,-73.958408
2 Ave & E 72 St,6925.09,40.768762,-73.958407
Wythe Ave & Metropolitan Ave,5348.02,40.716887,-73.963198
W 37 St & 10 Ave,6611.02,40.75660359,-73.9979009
W 37 St & 10 Ave,6611.02,40.756603,-73.9979
W 37 St & 10 Ave,6611.02,40.756604,-73.997901
St Marks Pl & 1 Ave,5626.13,40.72779126,-73.98564945
St Marks Pl & 1 Ave,5626.13,40.727791,-73.985649
E 2 St & Avenue A,5553.1,40.723077,-73.985836
E 2 St & Avenue A,5553.10,40.72307749068673,-73.98583620786667
E 85 St & 3 Ave,7212.05,40.778012,-73.954071
E 85 St & 3 Ave,7212.05,40.77801203,-73.95407149
W 55 St & 6 Ave,6809.09,40.763189,-73.978434
W 42 St & 6 Ave,6517.08,40.75492,-73.98455
5 Ave & E 29 St,6248.06,40.745167,-73.98683
5 Ave & E 29 St,6248.06,40.7451677,-73.98683077
5 Ave & E 29 St,6248.06,40.745168,-73.986831
E 39 St & Lexington Ave,6389.09,40.749498,-73.977292
E 39 St & Lexington Ave,6389.09,40.7494985460252,-73.97729203113158
E 39 St & Lexington Ave,6389.09,40.749499,-73.977292
E 4 St & 2 Ave,5593.04,40.726281,-73.98978
E 4 St & 2 Ave,5593.04,40.7262807,-73.98978041
E 4 St & 2 Ave,5593.04,40.72628,-73.98978
Centre St & Chambers St,5207.01,40.71273266,-74.0046073
Centre St & Chambers St,5207.01,40.712733,-74.004607
Centre St & Chambers St,5207.01,40.712732,-74.004607
W 20 St & 8 Ave,6224.05,40.74345335,-74.00004031
W 20 St & 8 Ave,6224.05,40.743453,-74.00004
Riverside Blvd & W 67 St,7183.03,40.777507027547976,-73.98888587951659
Riverside Blvd & W 67 St,7183.03,40.777507,-73.988885
Riverside Blvd & W 67 St,7183.03,40.777507,-73.988886
W 47 St & 10 Ave,6824.07,40.762699,-73.993012
W 47 St & 10 Ave,6824.07,40.76269882,-73.99301222
W 47 St & 10 Ave,6824.07,40.762698,-73.993012
W 59 St & 10 Ave,7023.04,40.770513,-73.988038
E 33 St & 5 Ave,6322.01,40.74765947,-73.98490707
E 33 St & 5 Ave,6322.01,40.747659,-73.984907
W 45 St & 8 Ave,6676.02,40.75929124,-73.98859651
W 45 St & 8 Ave,6676.02,40.759291,-73.988597
W 45 St & 8 Ave,6676.02,40.759291,-73.988596
Stanton St & Norfolk St,5445.07,40.720747,-73.986274
11 Ave & W 27 St,6425.04,40.751396,-74.005226
8 Ave & W 16 St,6072.11,40.740983,-74.001702
6 Ave & Broome St,5610.09,40.72431,-74.00473
6 Ave & Broome St,5610.09,40.724308,-74.00473
6 Ave & Broome St,5610.09,40.724308321602166,-74.00473035871983
W 70 St & Amsterdam Ave,7207.08,40.77748046,-73.98288594
W 70 St & Amsterdam Ave,7207.08,40.77748,-73.982885
W 70 St & Amsterdam Ave,7207.08,40.77748,-73.982886
E 23 St & 1 Ave,5929.01,40.736502,-73.97809472
E 23 St & 1 Ave,5929.01,40.736502,-73.978094
E 23 St & 1 Ave,5929.01,40.736502,-73.978095
Central Park West & W 85 St,7354.01,40.78476,-73.969862
MacDougal St & Prince St,5687.04,40.72710258,-74.00297088
